Color 1,Color 2,Contrast Ratio
Black,Red,3.3660613029685034
Black,Blue,4.1587352430716535
Black,Cyan,3.997288986713139
Black,Bright Red,4.3384633306751565
Black,Bright Magenta,4.320170978123156
Green,Bright Black,3.1985479114814126
Yellow,Bright Black,3.581211128509357
Magenta,Bright White,3.110880052432351
Bright Black,Bright Green,3.8879569599503614
Bright Black,Bright Blue,3.8194283263342235
Bright Black,Bright Cyan,3.248938979318109
