Color 1,Color 2,Contrast Ratio
Black,Yellow,5.9307541131817
Black,Blue,5.027274761015642
Black,Cyan,4.779887319576152
Black,Bright Green,5.470369727145058
Black,Bright Blue,6.550905556631272
Black,Bright Magenta,5.350301494472871
Black,Bright Cyan,6.006230477335425
White,Bright Black,5.466125973291913
Bright Black,Bright White,6.208427781808644
