Color 1,Color 2,Contrast Ratio
Black,Green,4.045697507199012
Black,Magenta,4.142691466219674
Black,Bright Red,3.97244535422865
Red,White,3.663864245756855
Red,Bright White,4.161418284773486
Green,Bright White,3.1552253491138327
Bright Black,Bright Yellow,3.4556225096479767
Bright Black,Bright Blue,3.186098379414143
Bright Red,Bright White,3.2134079115707883
